Algorithm,Queens,Seed,Final Heuristic,Iterations,Execution Time
Hill Climb,4,0,2,2,0.0
Simulated Annealing,4,0,0,189,0.0
Hill Climb,4,1,4,0,0.0
Simulated Annealing,4,1,0,114,0.0
Hill Climb,4,2,0,3,0.0
Simulated Annealing,4,2,0,17,0.0
Hill Climb,4,3,4,0,0.0
Simulated Annealing,4,3,0,154,0.0
Hill Climb,4,4,2,0,0.0
Simulated Annealing,4,4,0,10,0.0
Hill Climb,4,5,2,0,0.0
Simulated Annealing,4,5,0,2,0.0
Hill Climb,4,6,4,0,0.0
Simulated Annealing,4,6,0,3,0.0
Hill Climb,4,7,2,0,0.0
Simulated Annealing,4,7,0,157,0.0
Hill Climb,4,8,2,0,0.0
Simulated Annealing,4,8,0,61,0.0
Hill Climb,4,9,4,0,0.0
Simulated Annealing,4,9,0,86,0.0
Hill Climb,4,10,0,3,0.0
Simulated Annealing,4,10,0,198,0.0
Hill Climb,4,11,2,3,0.0
Simulated Annealing,4,11,0,102,0.0
Hill Climb,4,12,4,0,0.0
Simulated Annealing,4,12,0,109,0.0
Hill Climb,4,13,2,0,0.0
Simulated Annealing,4,13,0,20,0.0
Hill Climb,4,14,2,2,0.0
Simulated Annealing,4,14,0,167,0.0
Hill Climb,4,15,4,0,0.0
Simulated Annealing,4,15,0,101,0.0
Hill Climb,4,16,2,2,0.0
Simulated Annealing,4,16,0,200,0.0
Hill Climb,4,17,4,0,0.0
Simulated Annealing,4,17,0,50,0.013512611389160156
Hill Climb,4,18,0,3,0.0
Simulated Annealing,4,18,0,109,0.0
Hill Climb,4,19,4,0,0.0
Simulated Annealing,4,19,0,45,0.0
Hill Climb,4,20,4,0,0.0
Simulated Annealing,4,20,0,162,0.0013165473937988281
Hill Climb,4,21,2,0,0.0
Simulated Annealing,4,21,0,215,0.0020971298217773438
Hill Climb,4,22,0,0,0.0
Simulated Annealing,4,22,0,80,0.0
Hill Climb,4,23,2,2,0.0
Simulated Annealing,4,23,0,28,0.0
Hill Climb,4,24,2,0,0.0
Simulated Annealing,4,24,0,12,0.0
Hill Climb,4,25,2,2,0.0
Simulated Annealing,4,25,0,256,0.0
Hill Climb,4,26,2,0,0.0
Simulated Annealing,4,26,0,5,0.0
Hill Climb,4,27,0,3,0.0
Simulated Annealing,4,27,0,167,0.0
Hill Climb,4,28,4,0,0.0
Simulated Annealing,4,28,0,123,0.0
Hill Climb,4,29,0,0,0.0
Simulated Annealing,4,29,0,161,0.0
Genetic Algorithm,4,N/A,0,0,0.0
Hill Climb,8,0,2,2,0.00826263427734375
Simulated Annealing,8,0,0,558,0.03662300109863281
Hill Climb,8,1,0,2,0.008051872253417969
Simulated Annealing,8,1,0,528,0.020765304565429688
Hill Climb,8,2,4,0,0.0
Simulated Annealing,8,2,0,375,0.0030088424682617188
Hill Climb,8,3,4,1,0.005091667175292969
Simulated Annealing,8,3,0,206,0.0
Hill Climb,8,4,2,2,0.0
Simulated Annealing,8,4,1,1000,0.008594036102294922
Hill Climb,8,5,4,2,0.0
Simulated Annealing,8,5,0,408,0.0
Hill Climb,8,6,4,3,0.0
Simulated Annealing,8,6,0,238,0.0
Hill Climb,8,7,2,2,0.0
Simulated Annealing,8,7,0,223,0.0
Hill Climb,8,8,2,3,0.01611948013305664
Simulated Annealing,8,8,0,397,0.0
Hill Climb,8,9,2,4,0.0
Simulated Annealing,8,9,0,261,0.0
Hill Climb,8,10,4,1,0.0
Simulated Annealing,8,10,0,414,0.0007271766662597656
Hill Climb,8,11,0,3,0.0
Simulated Annealing,8,11,0,533,0.0
Hill Climb,8,12,4,0,0.0
Simulated Annealing,8,12,0,278,0.0
Hill Climb,8,13,4,2,0.0
Simulated Annealing,8,13,0,493,0.016675949096679688
Hill Climb,8,14,6,4,0.0
Simulated Annealing,8,14,1,1000,0.01910090446472168
Hill Climb,8,15,2,4,0.0
Simulated Annealing,8,15,0,577,0.008046627044677734
Hill Climb,8,16,6,1,0.0
Simulated Annealing,8,16,0,274,0.0
Hill Climb,8,17,0,5,0.0
Simulated Annealing,8,17,0,519,0.009359121322631836
Hill Climb,8,18,2,4,0.0
Simulated Annealing,8,18,0,206,0.0
Hill Climb,8,19,2,2,0.0
Simulated Annealing,8,19,0,562,0.013340234756469727
Hill Climb,8,20,0,2,0.0
Simulated Annealing,8,20,0,777,0.009252786636352539
Hill Climb,8,21,0,5,0.0
Simulated Annealing,8,21,0,256,0.008003950119018555
Hill Climb,8,22,2,4,0.0
Simulated Annealing,8,22,0,390,0.007999181747436523
Hill Climb,8,23,2,3,0.0
Simulated Annealing,8,23,1,1000,0.008002042770385742
Hill Climb,8,24,4,2,0.00281524658203125
Simulated Annealing,8,24,0,145,0.0
Hill Climb,8,25,2,2,0.004877328872680664
Simulated Annealing,8,25,0,471,0.002569913864135742
Hill Climb,8,26,4,3,0.0
Simulated Annealing,8,26,0,403,0.0
Hill Climb,8,27,6,2,0.0
Simulated Annealing,8,27,0,371,0.003700733184814453
Hill Climb,8,28,4,2,0.0
Simulated Annealing,8,28,0,667,0.004723787307739258
Hill Climb,8,29,2,2,0.0
Simulated Annealing,8,29,0,682,0.004097700119018555
Genetic Algorithm,8,N/A,0,21,0.008693456649780273
Hill Climb,10,0,2,4,0.0
Simulated Annealing,10,0,1,1000,0.008002281188964844
Hill Climb,10,1,6,3,0.0
Simulated Annealing,10,1,1,1000,0.014593362808227539
Hill Climb,10,2,2,5,0.0
Simulated Annealing,10,2,0,620,0.0
Hill Climb,10,3,2,3,0.008750438690185547
Simulated Annealing,10,3,1,1000,0.016354084014892578
Hill Climb,10,4,4,3,0.0055429935455322266
Simulated Annealing,10,4,0,254,0.002962827682495117
Hill Climb,10,5,2,4,0.0061244964599609375
Simulated Annealing,10,5,0,455,0.0049436092376708984
Hill Climb,10,6,6,2,0.006049633026123047
Simulated Annealing,10,6,1,1000,0.015768051147460938
Hill Climb,10,7,2,2,0.0
Simulated Annealing,10,7,0,839,0.007998466491699219
Hill Climb,10,8,2,5,0.008341550827026367
Simulated Annealing,10,8,1,1000,0.0028982162475585938
Hill Climb,10,9,2,3,0.004633426666259766
Simulated Annealing,10,9,1,1000,0.013248682022094727
Hill Climb,10,10,8,2,0.0
Simulated Annealing,10,10,0,628,0.008097410202026367
Hill Climb,10,11,2,5,0.008190393447875977
Simulated Annealing,10,11,1,1000,0.008011579513549805
Hill Climb,10,12,4,3,0.01563715934753418
Simulated Annealing,10,12,1,1000,0.010889053344726562
Hill Climb,10,13,4,3,0.005554914474487305
Simulated Annealing,10,13,1,1000,0.008175373077392578
Hill Climb,10,14,2,5,0.00935816764831543
Simulated Annealing,10,14,1,1000,0.017766714096069336
Hill Climb,10,15,4,3,0.008011102676391602
Simulated Annealing,10,15,1,1000,0.008076190948486328
Hill Climb,10,16,2,3,0.015630483627319336
Simulated Annealing,10,16,0,246,0.0
Hill Climb,10,17,6,0,0.0
Simulated Annealing,10,17,1,1000,0.0
Hill Climb,10,18,6,1,0.0
Simulated Annealing,10,18,0,560,0.0
Hill Climb,10,19,6,3,0.0
Simulated Annealing,10,19,0,658,0.0
Hill Climb,10,20,8,1,0.0
Simulated Annealing,10,20,0,425,0.0
Hill Climb,10,21,8,0,0.0
Simulated Annealing,10,21,0,269,0.015579462051391602
Hill Climb,10,22,2,4,0.0
Simulated Annealing,10,22,0,940,0.024027109146118164
Hill Climb,10,23,2,3,0.008105993270874023
Simulated Annealing,10,23,1,1000,0.008035898208618164
Hill Climb,10,24,4,2,0.0
Simulated Annealing,10,24,0,209,0.0
Hill Climb,10,25,4,2,0.0
Simulated Annealing,10,25,0,446,0.0
Hill Climb,10,26,2,3,0.0
Simulated Annealing,10,26,0,826,0.006005764007568359
Hill Climb,10,27,4,4,0.008005619049072266
Simulated Annealing,10,27,1,1000,0.008000612258911133
Hill Climb,10,28,2,5,0.008031606674194336
Simulated Annealing,10,28,1,1000,0.01566481590270996
Hill Climb,10,29,0,4,0.0
Simulated Annealing,10,29,1,1000,0.0
Genetic Algorithm,10,N/A,0,87,0.015625
